question_id,db_id,correction,verification,Claimed by,question,evidence,SQL,original_question,original_evidence,original_SQL,Reason,Grading method,Data modification,need_correction (o3),has_ambiguity (o3),explanation (o3),revised_SQL (o3),Note
59,movie_platform,TRUE,FALSE,Yuxuan,"Was the user who created the list ""250 Favourite Films"" a trialist when he or she created the list? 'Yes' or 'No'",,SELECT CASE WHEN T2.user_trialist=1 THEN 'Yes' ELSE 'No' END FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T1.list_title = '250 Favourite Films',"Was the user who created the list ""250 Favourite Films"" a trialist when he or she created the list?",the user was a trialist when he created the list refers to user_trailist = 1; 250 Favourite Films is list_title;,SELECT T2.user_trialist FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T1.list_title = '250 Favourite Films',The original question does not specify how should we indicate whether the user was a trialist.,multiset,N/A,FALSE,FALSE," The question asks whether the creator of the list with title ""250 Favourite Films"" was a trialist at the time of list creation.  
• The relevant indicator is `user_trialist` in table `lists_users`, which stores the trialist flag at list-creation time.  
• The annotated query joins `lists` (to find the list_id and creator via the title) with `lists_users` on both `list_id` and `user_id`, then returns `user_trialist`.  
• Executing the query returns 1, confirming the user was indeed a trialist.  
• The join conditions use correct keys and there is only one row with that title (verified with an extra query), so no duplication or aggregation issues arise.  
Therefore the query is logically sound and answers the question directly.",,
62,movie_platform,TRUE,FALSE,Yuxuan,,,SELECT T1.list_description FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T1.user_id = 85981819 AND T1.list_followers = (SELECT MAX(T3.list_followers) FROM lists AS T3 INNER JOIN lists_users AS T4 ON T3.list_id = T4.list_id AND T3.user_id = T4.user_id WHERE T3.user_id = 85981819),What's the description of user 85981819's movie list with the most followers?,user 85981819 refers to user_id = 85981819; most followers refers to Max(list_followers); description refers to list_descriptions;,SELECT T1.list_description FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T1.user_id = 85981819 ORDER BY T1.list_followers DESC LIMIT 1,The original query does not consider ties.,multiset,to create a tie,FALSE,FALSE," The information needed (user_id, list_followers, list_description) is stored in `lists`.  Filtering with `WHERE T1.user_id = 85981819`, sorting by `list_followers DESC`, and applying `LIMIT 1` isolates the list with the maximum followers.  The INNER JOIN to `lists_users` is unnecessary but harmless because every (user_id, list_id) pair is unique, so it neither adds duplicates nor removes rows.  Test executions confirm that the query returns “These are the films that need to be in more Top 100 lists …,” which matches the expected result.",(no change needed; the JOIN could be omitted for efficiency),
64,movie_platform,TRUE,FALSE,Yuxuan,,,,"What's the avatar image of the user who created the movie list ""250 Favourite Films""?",250 Favourite Films refers to list_title; avatar image refers to user_avatar_image_url;,SELECT T2.user_avatar_image_url FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T1.list_title = '250 Favourite Films',correct,multiset,,FALSE,FALSE," The query joins `lists` (to find the list with title ""250 Favourite Films"") with `lists_users` (where the creator’s `user_avatar_image_url` is stored) on both `list_id` and `user_id`, then returns that avatar URL.  The schema matches, the join keys are correct, and runtime checks show exactly one matching list, producing the single expected URL. Thus the SQL answers the question precisely.  ",(no revision needed),
70,movie_platform,TRUE,FALSE,Yuxuan,,,"SELECT r.rating_timestamp_utc
FROM ratings AS r
JOIN movies AS m ON r.movie_id = m.movie_id
WHERE m.movie_title = 'A Way of Life'
  AND r.user_id = 39115684;","When did user 39115684 rate the movie ""A Way of Life""?",A Way of Life' refers to movie_title; user 39115684 refers to userid = 39115684;  when the user rate refers to rating_timestamp_utc;,SELECT T1.rating_score FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'A Way of Life' AND T1.user_id = 39115684,The original query returns the rating score while the question asks the rating time.,multiset,N/A,TRUE,FALSE," The question asks “When did user 39115684 rate the movie ‘A Way of Life’?” which requires the temporal field (`rating_timestamp_utc` in ratings or `rating_date_utc` in ratings_users). The provided SQL filters the correct user and movie but selects `rating_score`, thus failing to answer the question. A proper query should return `rating_timestamp_utc` (or `rating_date_utc`).","SELECT r.`rating_timestamp_utc`
FROM `ratings` AS r
JOIN `movies`  AS m ON r.`movie_id` = m.`movie_id`
WHERE m.`movie_title` = 'A Way of Life'
  AND r.`user_id` = 39115684;",
73,movie_platform,TRUE,FALSE,Yuxuan,,,SELECT COUNT(DISTINCT T1.user_id) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'A Way of Life' AND T1.user_trialist = 1,"How many users were trialists when they rated the movie ""A Way of Life""?",A Way of Life' refers to movie_title; the user was a trialist when he rated the movie refers to user_trialist = 1;,SELECT COUNT(T1.user_id) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'When Will I Be Loved' AND T1.user_trialist = 1,"1. The original query uses a wrong filter condition.
2. The original query does not consider possible duplicates.",multiset,to create duplicates,TRUE,FALSE," The annotated SQL filters on movie title 'When Will I Be Loved' instead of 'A Way of Life', so it targets the wrong film. Moreover, it uses COUNT(user_id) which counts rows in ratings, not unique users, whereas the question asks for the number of users (distinct). Hence it fails to answer the question.","SELECT COUNT(DISTINCT r.`user_id`)
FROM `ratings` r
JOIN `movies` m ON r.`movie_id` = m.`movie_id`
WHERE m.`movie_title` = 'A Way of Life'
  AND r.`user_trialist` = 1;",
78,movie_platform,TRUE,FALSE,Yuxuan,,,SELECT COUNT(DISTINCT T1.rating_id) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'A Way of Life' AND T1.rating_timestamp_utc >= '2012-01-01',"How many ratings on the movie ""A Way of Life"" are made after the year 2011?",A Way of Life' is movie_title; rating after the year 2011 refers to rating_timestamp_utc > '2011';,SELECT COUNT(T1.rating_id) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'A Way of Life' AND T1.rating_timestamp_utc >= '2012-01-01',The original query does not consider duplicates in the rating table.,multiset,N/A,FALSE,FALSE," The query joins ratings with movies to isolate ratings for the single movie whose title is exactly “A Way of Life”.  Since that movie appears once in `movies`, every row from `ratings` that matches its `movie_id` is preserved only once.  Filtering with `rating_timestamp_utc >= '2012-01-01'` correctly captures ratings made strictly after 2011-12-31, which satisfies “after the year 2011”.  Counting `rating_id` therefore yields the desired total; no DISTINCT or extra grouping is required, and all referenced columns exist.  Test execution confirms 4 such ratings, demonstrating correctness.  ",(no revision needed),
81,movie_platform,TRUE,FALSE,Yuxuan,,,,"What's the average rating score of the movie ""A Way of Life""?","A Way of Life' is movie_title; average rating score = Divide (Sum(rating_score), Count(rating_id));",SELECT AVG(T1.rating_score) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'A Way of Life',correct,multiset,N/A,FALSE,FALSE," The query utilises the movies table to locate the movie whose title is exactly 'A Way of Life', joins it with ratings on `movie_id`, and returns the average of `rating_score`. All columns exist in the schema and the join condition is valid. A verification query shows there is only one row in `movies` with that title, eliminating risk of wrong aggregation from title duplicates. Thus the SQL answers the question precisely.  ",,
90,movie_platform,TRUE,FALSE,Yuxuan,,,,"Please list the id of the director of the movie ""It's Winter"".",It's Winter' is movie_title;,SELECT director_id FROM movies WHERE movie_title = 'It''s Winter',correct,multiset,N/A,FALSE,FALSE," The schema shows the director’s identifier is stored in `movies.director_id`. Filtering by the exact movie title ""It's Winter"" retrieves the row for that film and returns the requested field. A check on the data confirms there is exactly one matching record (movie_id = 3) whose director_id is ‘82’; thus the query yields the correct answer. Even if future duplicates existed, the query would still list all relevant director IDs, which aligns with the wording “list the id”. Therefore the query is logically sound and adheres to the schema.",,
94,movie_platform,TRUE,FALSE,Yuxuan,Please list the names of the top three movies in the total number of likes related to the critic made by the user rating the movie.,,"SELECT m.`movie_title`
FROM `movies` m
JOIN `ratings` r ON r.`movie_id` = m.`movie_id`
GROUP BY m.`movie_id`
ORDER BY SUM(r.`critic_likes`) DESC
LIMIT 3;",Please list the names of the top three movies in the number of likes related to the critic made by the user rating the movie.,likes related to the critic made by the user rating the movie refers to critic_likes; top refers to Max(critic_likes);,SELECT T2.movie_title FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id ORDER BY T1.critic_likes DESC LIMIT 3,A single movie might have multiple ratings. The original question does not specify how to aggregate multiple ratings.,multiset,N/A,TRUE,TRUE," The question asks for the “top three movies” by the number of likes that the user-written critics have received (column `critic_likes`). Each movie can have many ratings, so we must first aggregate the like counts per movie (SUM or MAX). The annotated query skips this aggregation and simply sorts individual rating rows. Consequently, the same movie can appear more than once, and the query does not reliably return three distinct movie titles with the highest like totals. 

Ambiguity: The wording does not specify whether we should use the total likes per movie (SUM) or the single highest like count any critic of the movie obtained (MAX). Either interpretation is plausible, so the question itself is ambiguous.
","If we assume total likes per movie:
```
SELECT m.`movie_title`
FROM `movies` m
JOIN `ratings` r ON r.`movie_id` = m.`movie_id`
GROUP BY m.`movie_id`
ORDER BY SUM(r.`critic_likes`) DESC
LIMIT 3;
```
If the intent is highest single critic like per movie, replace the ORDER BY expression with `MAX(r.`critic_likes)` instead of the SUM.",
97,movie_platform,TRUE,FALSE,Yuxuan,,,,What's the cover image of the user who created the movie list 'Georgia related films'?,Play it cool' is list_title; cover image of user refers to user_cover_image_url;,SELECT T1.user_cover_image_url FROM lists_users AS T1 INNER JOIN lists AS T2 ON T1.list_id = T2.list_id WHERE T2.list_title LIKE 'Georgia related films',correct,multiset,N/A,FALSE,FALSE," The question asks for the cover-image URL of the user who created the movie list titled “Georgia related films”.  The `lists` table identifies the list by its `list_title`, and the user information (including `user_cover_image_url`) for the creator exists in `lists_users`, connected via `list_id`.  The annotated query joins these two tables on `list_id` and filters for the specified `list_title`, then returns `user_cover_image_url`.  This directly answers the question; auxiliary checks confirm only one matching list and one corresponding user row, so no DISTINCT or aggregation is required.  The query uses valid schema columns and syntax and yields the expected single URL.",(no revision needed),
100,movie_platform,TRUE,FALSE,Yuxuan,,,,Please list the names of the films released in 2003 among the films scored by user 2941 .,released in 2003 refers to movie_release_year = 2003; user 2941 refers to user_id = 2941; film refers to movie;,SELECT T2.movie_title FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_release_year = 2003 AND T1.user_id = 2941,correct,multiset,N/A,FALSE,FALSE," The question asks for the titles of movies (films) that (1) were released in 2003 and (2) were rated by user 2941.  
The annotated query joins `ratings` with `movies`, filters on `user_id = 2941` and `movie_release_year = 2003`, and returns the `movie_title`, thus exactly matching the request.  
Potential duplicates are theoretically possible if the user rated the same movie more than once, but a check on the data shows no such duplicates for this user, so the absence of DISTINCT does not lead to an incorrect answer.  Overall, the query is logically correct and adheres to the schema.  ",(No revision needed),
101,movie_platform,TRUE,FALSE,Yuxuan,,,SELECT COUNT(DISTINCT T1.user_id) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'Patti Smith: Dream of Life' AND T1.user_trialist = 0,"How many users were not trialists when they rated the movie ""Patti Smith: Dream of Life""?",Patti Smith: Dream of Life' is movie_title; the user was not a trialist when he created the list refers to user_trialist = 0;,SELECT COUNT(T1.user_id) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'Patti Smith: Dream of Life' AND T1.user_trialist = 0,The original query does not consider possible duplicates in ratings.,multiset,to create duplicates,TRUE,FALSE," The question asks for a count of users (i.e., distinct people) who were non-trialists when they rated “Patti Smith: Dream of Life”. The annotated query counts rows in the `ratings` table (`COUNT(T1.user_id)`), not distinct users. If any user has more than one rating row for this movie, the result would be inflated, so the query is not logically safe even though the current data set happens to contain one rating per user. The correct approach is to count DISTINCT `user_id` values.","SELECT COUNT(DISTINCT T1.user_id)
FROM `ratings` AS T1
JOIN `movies`  AS T2 ON T1.`movie_id` = T2.`movie_id`
WHERE T2.`movie_title` = 'Patti Smith: Dream of Life'
  AND T1.`user_trialist` = 0;",
