question_id,corrected by,verified by,db_id,question,evidence,SQL,original_question,original_evidence,original_SQL,reason,SQL error pattern,verification (Tengjun),response,verification (Yoojin),response,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
95,Yuxuan,Tengjun,movie_platform,How many users have more than 100 followers in the list created by users in 2009?,more than 100 followers refers to list_followers >100;  list created by the user in 2009 refers to list_creation_date_utc = '2009';,SELECT COUNT(DISTINCT T1.user_id) FROM lists_users AS T1 INNER JOIN lists AS T2 ON T1.list_id = T2.list_id WHERE T2.list_followers > 100 AND T1.list_creation_date_utc LIKE '2009%',,,SELECT COUNT(T1.user_id) FROM lists_users AS T1 INNER JOIN lists AS T2 ON T1.list_id = T2.list_id WHERE T2.list_followers > 100 AND T1.list_creation_date_utc LIKE '2009%',"The original query counts rows in `lists_users`, not distinct users.",,,,,,,,,,,,,,,,,,,,,
106,Yuxuan,Tengjun,movie_platform,What is the average score for the movie Versailles Rive-Gauche?,Versailles Rive-Gauche' is movie_title; average score refers to Avg(rating_score);,SELECT AVG(T1.rating_score) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title LIKE 'Versailles Rive-Gauche',,,,correct,,,,,,,,,,,,,,,,,,,,,
107,Yuxuan,Tengjun,movie_platform,Which films rated by user 59988436 has received 21 comments? Indicate the movie titles.,user 59988436 refers to user_id = 59988436; received 21 comments refers to critic_comments = 21; film refers to movie;,SELECT T2.movie_title FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T1.user_id = 59988436 AND T1.critic_comments = 21,Which film rated by user 59988436 that received 21 comments?,,,correct,,,,,,,,,,,,,,,,,,,,,
119,Yuxuan,Tengjun,movie_platform,"What's the number of users gave the movie ""Downfall"" a rating of ""4""?","movie ""Downfall"" refers to movie_title = 'Downfall'; rating of ""4"" refers to rating_score = 4",SELECT COUNT(DISTINCT T1.user_id) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'Downfall' AND T1.rating_score = 4,,,SELECT COUNT(T1.user_id) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'Downfall' AND T1.rating_score = 4,"The original query counts all rating rows, not distinct users.",,,,,,,,,,,,,,,,,,,,,
131,Yuxuan,,movie_platform,,,,"How many paying subscribers gave a rating to the movie ""One Flew Over the Cuckoo's Nest""?","paying subscribers refer to user_has_payment_method = 1; movie ""One Flew Over the Cuckoo's Nest"" refers to movie_id = 'One Flew Over the Cuckoo''s Nest'",SELECT COUNT(T1.user_id) FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id INNER JOIN ratings_users AS T3 ON T1.user_id = T3.user_id WHERE T2.movie_title = 'One Flew Over the Cuckoo''s Nest' AND T3.user_has_payment_method = 1,"DROPPED. We cannot fix this problem because the database itself is not consistent --- The field ""user_has_payment"" is in both ratings and ratings_users tables, while ""SELECT COUNT(*) FROM ratings JOIN ratings_users ON ratings.user_id = ratings_users.user_id WHERE ratings.user_has_payment_method <> ratings_users.user_has_payment_method;"" gives a non-zero result.",,,,,,,,,,,,,,,,,,,,,
144,Yuxuan,Tengjun,movie_platform,"For all list titles with at least 200 movies in the list, what is their average number of followers?",at least 200 movies in the list refers to list_movie_number >= 200; average number of followers refers to avg(list_followers),SELECT AVG(list_followers) FROM lists WHERE list_movie_number >= 200,,at least 200 movies in the list refers to list_movie_number > 200; average number of followers refers to avg(list_followers),SELECT AVG(list_followers) FROM lists WHERE list_movie_number > 200,"The original query uses > 200 so it omits lists that have exactly 200 movies, contrary to ""at least 200.""",,,,,,,,,,,,,,,,,,,,,
169,Yuxuan,Tengjun,book_publishing_company,"List the title, price and publication date for all sales with 'ON invoice' payment terms.",publication date refers to pubdate; payment terms refers to payterms; payterms = 'ON invoice',"SELECT T2.title, T2.price, T2.pubdate FROM sales AS T1 INNER JOIN titles AS T2 ON T1.title_id = T2.title_id WHERE T1.payterms = 'ON invoice'",,,,correct,,,,,,,,,,,,,,,,,,,,,
222,Yuxuan,Tengjun,book_publishing_company,What's on the notes for the order happened on 1994/9/14?,order happened on refers to ord_date,"SELECT DISTINCT T1.notes FROM titles AS T1 INNER JOIN sales AS T2 ON T1.title_id = T2.title_id WHERE STRFTIME('%Y-%m-%d', T2.ord_date) = '1994-09-14'",,,"SELECT T1.notes FROM titles AS T1 INNER JOIN sales AS T2 ON T1.title_id = T2.title_id WHERE STRFTIME('%Y-%m-%d', T2.ord_date) = '1994-09-14'","The original query joins correctly and filters the right date, yet it returns one row per sales line, so every note appears as many times as its title is present (duplicates).",,,,,,,,,,,,,,,,,,,,,
245,Yuxuan,Tengjun,retail_complains,What is the detailed product of the complaint filed by Diesel Galloway on 2014/7/3?,"detailed product refers to ""sub-product""; on 2014/7/3 refers to ""Date received"" = '2014-07-03';",SELECT T2.`Sub-product` FROM client AS T1 INNER JOIN events AS T2 ON T1.client_id = T2.Client_ID WHERE T1.first = 'Diesel' AND T1.last = 'Galloway' AND T2.`Date received` = '2014-07-03',,,,correct,,,,,,,,,,,,,,,,,,,,,
248,Yuxuan,Tengjun,retail_complains,What is the full name of the client whose complaint on 2017/3/27 was received by MICHAL?,"full names = first, middle, last; on 2017/3/27 refers to ""Date received"" = '2017-03-27'; MICHAL refers to server = 'MICHAL';","SELECT T1.first, T1.middle, T1.last FROM client AS T1 INNER JOIN callcenterlogs AS T2 ON T1.client_id = T2.`rand client` WHERE T2.`Date received` = '2017-03-27' AND T2.server = 'MICHAL'",,,,correct,,,,,,,,,,,,,,,,,,,,,
265,Yuxuan,Tengjun,retail_complains,What was the review context from Jacksonville on 2017/7/22?,Jacksonville refers to city = 'Jacksonville'; on 2017/7/22 refers to Date = '2017-07-22';,SELECT T1.Reviews FROM reviews AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.city = 'Jacksonville' AND T1.Date = '2017-07-22',,,,correct,,,,,,,,,,,,,,,,,,,,,
267,Yuxuan,Group,retail_complains,"How many stars did ""Eagle Capital"" received in total from Little Rock on 2013/4/4?",Eagle Capital refers to Product = 'Eagle Capital'; Little Rock is a city; on 2013/4/4 refers to Date = '2013-04-04';,SELECT SUM(`Stars`) AS total_stars FROM `reviews` r JOIN `district` d ON r.`district_id` = d.`district_id` WHERE r.`Product` = 'Eagle Capital' AND d.`city` = 'Little Rock' AND r.`Date` = '2013-04-04',"How many stars did ""Eagle Capital"" received from Little Rock on 2013/4/4?",,SELECT COUNT(T1.Stars) FROM reviews AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.Product = 'Eagle Capital' AND T2.city = 'Little Rock' AND T1.Date = '2013-04-04'," The original SQL counts the number of review rows (COUNT(Stars)).  The natural reading of the question “How many stars did 'Eagle Capital' receive …?” asks for the star-rating value(s) themselves -- either the individual rating, or an aggregated total/average of the stars awarded -- not the number of rows.  Hence the query does not answer the intended question even though its joins and filters on product, city, and date are otherwise consistent with the schema.  Because the wording could refer to (a) the rating of a single review, (b) the sum of all star values, or (c) the average rating, the question itself is ambiguous.",,"The meaning of stars, see 274",resolved in the channel,,,,,,,,,,,,,,,,,,
274,Yuxuan,Tengjun,retail_complains,"Which product got the most five stars, and how many?",most five stars refers to MAX(COUNT(stars = 5));,"SELECT T.Product, MAX(T.num) FROM ( SELECT Product, COUNT(Stars) AS num FROM reviews WHERE Stars = 5 GROUP BY Product ) T",,,,correct,,,,,,,,,,,,,,,,,,,,,
286,Yuxuan,Tengjun,retail_complains,Find the number of service members who complained in Syracuse.,service members refers to client.client_id; Syracuse refers to city = 'Syracuse';,SELECT COUNT(DISTINCT T1.client_id) FROM client AS T1 INNER JOIN events AS T2 ON T1.client_id = T2.Client_ID WHERE T2.Tags = 'Servicemember' AND T1.city = 'Syracuse',,,SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN events AS T2 ON T1.client_id = T2.Client_ID WHERE T2.Tags = 'Servicemember' AND T1.city = 'Syracuse',"The question asks for the number of service-member clients (i.e., unique people), therefore duplicates must be removed.",,,,,,,,,,,,,,,,,,,,,
315,Yuxuan,Tengjun,retail_complains,What is the average age of Norwalk clients?,average age = AVG(age); Norwalk refers to city = 'Norwalk';,SELECT CAST(SUM(T1.age) AS REAL) / COUNT(T1.age) AS average FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T2.city = 'Norwalk',,,,correct,,,,,,,,,,,,,,,,,,,,,
318,Yuxuan,Tengjun,retail_complains,Which region does Noah Thompson live in?,,SELECT s.Region FROM client c JOIN district d ON c.district_id = d.district_id JOIN state s ON d.state_abbrev = s.StateCode WHERE c.first = 'Noah' AND c.last  = 'Thompson';,,,SELECT T2.division FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.first = 'Noah' AND T1.last = 'Thompson',"The original query returns `division` from `district`, while the question asks for the `Region` (stored in `state`)",,,,,,,,,,,,,,,,,,,,,
321,Yuxuan,Tengjun,retail_complains,How long was Kendall Allen's complaint about her credit card?,how long refers to ser_time; credit card refers to Product = 'Credit Card';,SELECT T3.ser_time FROM events AS T1 INNER JOIN client AS T2 ON T1.Client_ID = T2.client_id INNER JOIN callcenterlogs AS T3 ON T1.`Complaint ID` = T3.`Complaint ID` WHERE T2.first = 'Kendall' AND T2.last = 'Allen' AND T2.sex = 'Female' AND T1.Product = 'Credit card',,,,correct,,,,,,,,,,,,,,,,,,,,,
330,Yuxuan,Yoojin,retail_complains,List the full names of all clients who live in the Pacific division.,"full name refers to first, middle, and last","SELECT T2.first, T2.middle, T2.last FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T1.division = 'Pacific'",,"full name refers to first, last",,The evidence missed middle name,,The evidence is wrong,corrected,,,,,,,,,,,,,,,,,,
333,Yuxuan,Tengjun,retail_complains,"What is the address of the client who made a complaint via postal mail on March 14, 2012?","address refers to address_1, address_2; via postal mail refers to Submitted via = 'Postal mail'; March 14 2012 refers to Date received = '2012-03-14'","SELECT T1.address_1, T1.address_2 FROM client AS T1 INNER JOIN events AS T2 ON T1.client_id = T2.Client_ID WHERE T2.`Date received` = '2012-03-14' AND T2.`Submitted via` = 'Postal mail'",,,,correct,,,,,,,,,,,,,,,,,,,,,
346,Yuxuan,Yoojin,retail_complains,"List down the email of client whose complaint is type ""PS"".",,SELECT DISTINCT T1.email FROM client AS T1 INNER JOIN callcenterlogs AS T2 ON T1.client_id = T2.`rand client` WHERE T2.type = 'PS',,,SELECT T1.email FROM client AS T1 INNER JOIN callcenterlogs AS T2 ON T1.client_id = T2.`rand client` WHERE T2.type = 'PS',"The original query joins client with callcenterlogs and filters on type = 'PS', but it does not remove duplicates. The question asks to “List down the email of client”, implying each client's email should appear once.",,Miss distinct,corrected,,,,,,,,,,,,,,,,,,
360,Yuxuan,Tengjun,retail_complains,Write down the date received of complaints sent via Fax.,sent via Fax refers to Submitted via = 'Fax',SELECT DISTINCT `Date received` FROM events WHERE `Submitted via` = 'Fax',,,SELECT T1.`Date received` FROM callcenterlogs AS T1 INNER JOIN events AS T2 ON T1.`Complaint ID` = T2.`Complaint ID` WHERE T2.`Submitted via` = 'Fax',The data stored in callcenterlogs are complaints received via Phone. The query should only look up the events table for complaints received via Fax.,,,,,,,,,,,,,,,,,,,,,
367,Yuxuan,Yoojin,retail_complains,How many times do credit card customers complain about overlimit fees for each year? Return the years and corresponding numbers of customer complains.,credit card customer refers to product = 'Credit card'; about overlimit fees refers to issue = 'Overlimit fee',"SELECT strftime('%Y', `Date received`), COUNT(`Date received`) FROM events WHERE product = 'Credit card' AND issue = 'Overlimit fee' GROUP BY strftime('%Y', `Date received`) HAVING COUNT(`Date received`)",How many times per year does a credit card customer complain about overlimit fees?,,,"Ambiguity arises from the wording ""does a credit card customer complain"" -- it could also be read as asking for the average number of complaints per individual customer per year. It's also unclear whether the question asked for an average value or one value for each year",,per year means AVG?,corrected,,,,,,,,,,,,,,,,,,
381,Yuxuan,Tengjun,retail_complains,Which cities in the Midwest region have the least number of clients?,least number of clients refers to min(count(client_id)),SELECT T2.city FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN state AS T3 ON T2.state_abbrev = T3.StateCode WHERE T3.Region = 'Midwest' GROUP BY T2.city HAVING COUNT(T1.client_id) = ( SELECT MIN(client_count) FROM ( SELECT COUNT(T1.client_id) AS client_count FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN state AS T3 ON T2.state_abbrev = T3.StateCode WHERE T3.Region = 'Midwest' GROUP BY T2.city ) AS ClientCounts );,Which city in the Midwest region has the least number of clients?,,SELECT T2.city FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN state AS T3 ON T2.state_abbrev = T3.StateCode WHERE T3.Region = 'Midwest' GROUP BY T2.city ORDER BY COUNT(T2.city) LIMIT 1,The original query does not consider the possibility of having multiple cities with the least number of clients.,,,,,,,,,,,,,,,,,,,,,
416,Yuxuan,Tengjun,movies_4,"Please list the names of all the producers in the movie ""Pirates of the Caribbean: At World's End"".","names refers to person_name; producers refers to job = 'Producer'; ""Pirates of the Caribbean: At World's End"" refers to title = 'Pirates of the Caribbean: At World''s End'",SELECT T3.person_name FROM movie AS T1 INNER JOIN movie_crew AS T2 ON T1.movie_id = T2.movie_id INNER JOIN person AS T3 ON T2.person_id = T3.person_id WHERE T1.title LIKE 'Pirates of the Caribbean: At World%s End' AND T2.job = 'Producer',,,,correct,,,,,,,,,,,,,,,,,,,,,
447,Yuxuan,Tengjun,movies_4,Which production companies produced the movies that made the most money at the box office?,Which production company refers to company_name; most money at the box office refers to max(revenue),SELECT pc.company_name FROM production_company AS pc JOIN movie_company  AS mc ON pc.company_id = mc.company_id JOIN movie AS m ON mc.movie_id  = m.movie_id WHERE m.revenue = (SELECT MAX(revenue) FROM movie);,Which production company produced the movie that made the most money at the box office?,,SELECT T1.company_name FROM production_company AS T1 INNER JOIN movie_company AS T2 ON T1.company_id = T2.company_id INNER JOIN movie AS T3 ON T2.movie_id = T3.movie_id GROUP BY T1.company_id ORDER BY SUM(T3.revenue) DESC LIMIT 1,"The question asks for the production company (or companies) that produced the single movie that earned the highest box-office revenue (max(movie.revenue)). The annotated query instead sums the revenue of every movie per company, ranks companies by that total, and returns the company with the largest cumulative revenue. That answers a different question (top-grossing company overall), not the one asked. The wording ""Which production company"" is singular, yet the highest-grossing movie can be produced by several companies, so more than one valid answer may exist.",,,,,,,,,,,,,,,,,,,,,
457,Yuxuan,Yoojin,movies_4,"In Movie No. 19, how many people are there in Department No. 7? Please also show their jobs in the second column as a comma separated list.",Movie No. 19 refers to movie_id = 19; Department No. 7 refers to department_id = 7,"SELECT COUNT(DISTINCT person_id) AS num_people, GROUP_CONCAT(DISTINCT job) AS jobs FROM movie_crew WHERE movie_id = 19 AND department_id = 7;","In Movie No. 19, how many people are there in Department No. 7? Please give me their job.",,SELECT COUNT(DISTINCT job) FROM movie_crew WHERE movie_id = 19 AND department_id = 7,"The question asks for (1) the number of people that worked on movie_id = 19 in department_id = 7 and (2) their job titles. The original query counts DISTINCT job, not DISTINCT person_id, therefore it returns 3 instead of the correct value 5. It also returns only the count and omits the requested job titles.",,Unclear output format,corrected,,,,,,,,,,,,,,,,,,
483,Yuxuan,Tengjun,movies_4,List 10 crews alongside their jobs who worked on the movie 'Mad Max: Fury Road.',crews refers to person_name; movie 'Mad Max: Fury Road' refers to title = 'Mad Max: Fury Road',"SELECT T3.person_name, T2.job FROM movie AS T1 INNER JOIN movie_crew AS T2 ON T1.movie_id = T2.movie_id INNER JOIN person AS T3 ON T2.person_id = T3.person_id WHERE T1.title = 'Mad Max: Fury Road'",,,SELECT T3.person_name FROM movie AS T1 INNER JOIN movie_crew AS T2 ON T1.movie_id = T2.movie_id INNER JOIN person AS T3 ON T2.person_id = T3.person_id WHERE T1.title = 'Mad Max: Fury Road' LIMIT 10,"The original query only returns the crew names and omits their jobs, so it does not fully answer the question. The question asks for any 10, so we need to use subset during grading.",,which ten,noted,,,,,,,,,,,,,,,,,,
487,Yuxuan,Tengjun,movies_4,"What are the keyword IDs of the movie with the title of ""Sin City""?","title of ""Sin City"" refers to title = 'Sin City'",SELECT T2.keyword_id FROM movie AS T1 INNER JOIN movie_keywords AS T2 ON T1.movie_id = T2.movie_id WHERE T1.title = 'Sin City',"What is the keyword ID of the movie with the title of ""Sin City""?",,,"the natural-language question is phrased in the singular (“the keyword ID”), while the data hold several keyword IDs, so the intent can be read as expecting one value or all values. Hence the pair is logically correct but the question is ambiguous",,,,,,,,,,,,,,,,,,,,,
500,Yuxuan,Tengjun,movies_4,"For movies with the keyword of ""civil war"", calculate the average revenue generated by these movies.","keyword of ""civil war"" refers to keyword_name = 'civil war'; average revenue = AVG(revenue)",SELECT AVG(T1.revenue) FROM movie AS T1 INNER JOIN movie_keywords AS T2 ON T1.movie_id = T2.movie_id INNER JOIN keyword AS T3 ON T2.keyword_id = T3.keyword_id WHERE T3.keyword_name = 'civil war',,,,correct,,,,,,,,,,,,,,,,,,,,,
518,Yuxuan,Tengjun,movies_4,What is the average number of crews for a movie?,"average number of crews = divide(count(person_id), COUNT(movie_id))","SELECT AVG(crew_cnt) AS avg_crew_per_movie FROM ( SELECT `movie_id`, COUNT(DISTINCT `person_id`) AS crew_cnt FROM `movie_crew` GROUP BY `movie_id` );",,,"SELECT CAST(SUM(CD) AS REAL) / COUNT(movie_id) FROM ( SELECT movie_id, COUNT(person_id) AS CD FROM movie_crew GROUP BY movie_id )","Because the same crew member (`person_id`) can appear several times for different jobs, many (movie , person) pairs are duplicated. Hence the query over-counts crew members and returns 27.14, whereas using distinct crew members gives 25.67. Therefore it does not correctly answer the question.",,,,,,,,,,,,,,,,,,,,,
